timestamp,frame_number,lane,group_name,player_initial,F1_marks,F1_score,F2_marks,F2_score,F3_marks,F3_score,F4_marks,F4_score,F5_marks,F5_score,F6_marks,F6_score,F7_marks,F7_score,F8_marks,F8_score,F9_marks,F9_score,F10_marks,F10_score,total_score
0.0,0,6,TARUN,J,X5-,15,,20,2,2,74-,3,,,,,,,,,,,,,31
0.0,0,6,TARUN,V,,,8-3,81,,19,,28,,,,,,,,,,,,,28
0.0,0,6,TARUN,P,,20,X47,3,,48,6,54,,,,,,,,,,,,,54
0.0,0,6,TARUN,T,61/,,,25,8,33,,,,,,,,,,,,,,,33
10.0,300,6,TARUN,J,X5,15,,20,2,2,74,31,,,,,,,,,,,,,31
10.0,300,6,TARUN,V,,,8-3,81,,19,,28,,,,,,,,,,,,,28
10.0,300,6,TARUN,P,,20,X47,39,,48,6,54,,,,,,,,,,,,,54
10.0,300,6,TARUN,T,61/,,,25,8-1,33,,,,,,,,,,,,,,,0
15.0,450,6,TARUN,I,X5-,15,,20,2,2,74-,31,,,,,,,,,,,,,31
15.0,450,6,TARUN,V,,,8-3,81,,19,,28,,,,,,,,,,,,,28
15.0,450,6,TARUN,P,,20,X47,3,,48,6,54,,,,,,,,,,,,,54
15.0,450,6,TARUN,T,61/,,,25,8-1,33,,,,,,,,,,,,,,,0
20.0,600,6,TARUN,J,X5-,15,,20,2,2,74-,31,,,,,,,,,,,,,31
20.0,600,6,TARUN,V,,,8-3,81,,19,,28,,,,,,,,,,,,,28
20.0,600,6,TARUN,P,,20,X47,39,,48,6,54,,,,,,,,,,,,,54
20.0,600,6,TARUN,T,61/,,,25,8-1,33,,,,,,,,,,,,,,,0
30.0,900,6,JAGDISH,J,X,15,5,20,714,27,,31,,,,,,,,,,,,,31
30.0,900,6,JAGDISH,V,,,8-3,81,,19,,28,,,,,,,,,,,,,28
30.0,900,6,JAGDISH,P,,20,X47,39,,48,6,54,,,,,,,,,,,,,54
30.0,900,6,JAGDISH,T,611,7,,,78-,33,,40,,,,,,,,,,,,,40
35.0,1050,6,JAGDISH,J,X,15,5,20,714,27,,31,,,,,,,,,,,,,31
35.0,1050,6,JAGDISH,V,,,,,,,,28,,,,,,,,,,,,,28
35.0,1050,6,JAGDISH,P,,20,X47,39,,48,6,54,,,,,,,,,,,,,54
35.0,1050,6,JAGDISH,T,,7,617,75,,33,,40,,,,,,,,,,,,,40
40.0,1200,6,TARUN,J,,,,,,,,,,,,,,,,,,,,,
40.0,1200,6,TARUN,V,,,,,,,,,,,,,,,,,,,,,
40.0,1200,6,TARUN,P,,,,,,,,,,,,,,,,,,,,,
40.0,1200,6,TARUN,T,,,,,,,,,,,,,,,,,,,,,
45.0,1350,6,VISHAL,J,X,15,,20,2,2,74-,3,,,,,,,,,,,,,41
45.0,1350,6,VISHAL,V,,,8-3,,,,,28,,,,,,,,,,,,,28
45.0,1350,6,VISHAL,P,,20,479,39,,48,6,54,,,,,,,,,,,,,54
45.0,1350,6,VISHAL,T,611,7,,,78-,33,,40,,,,,,,,,,,,,40
55.0,1650,6,VISHAL,J,X,15,,20,,2,74-,3,,,,,,,,,,,,,41
55.0,1650,6,VISHAL,V,,,8-3,,,,,28,,,,,,,,,,,,,37
55.0,1650,6,VISHAL,P,,20,479,39,,48,6,54,,,,,,,,,,,,,54
55.0,1650,6,VISHAL,T,611,3,,,78-,33,,40,,,,,,,,,,,,,40
